"コード","会社名","旧会社名","市場","選択","取引市場","業種","資本金","単位株数","備考"
1812,"鹿島建設","","東証PRM","○","東証PRM","建設業",81447000000,100,"",""
1813,"不動テトラ","","東証PRM","○","東証PRM","建設業",5000000000,100,"",""
1814,"大末建設","","東証PRM","○","東証PRM","建設業",4324000000,100,"",""
1815,"鉄建建設","","東証PRM","○","東証PRM","建設業",18293000000,100,"",""
1816,"安藤建設（上場廃止）","","東証1部","○","東証1部","建設業","",1000,"",""
1817,"勝村建設（上場廃止）","","東証1部","○","東証1部","建設業","",1000,"",""
1818,"日産建設（上場廃止）","","東証1部","○","東証1部","建設業","",1000,"",""
1819,"太平工業（上場廃止）","","東証1部","○","東証1部","建設業","",1000,"",""
1820,"西松建設","","東証PRM","○","東証PRM","建設業",23513000000,100,"",""
1821,"三井住友建設（上場廃止）","","東証PRM","○","東証PRM","建設業",12003000000,100,"",""
1822,"大豊建設","","東証STD","○","東証STD","建設業",30736000000,100,"",""
1823,"住友建設（上場廃止）","","東証1部","○","東証1部,大証1部","建設業","",1000,"",""
1824,"前田建設工業（上場廃止）","","東証1部","○","東証1部","建設業","",1000,"",""
1825,"環境建設（上場廃止）","","東証2部","○","東証2部","建設業","",1000,"",""
1826,"佐田建設","","東証STD","○","東証STD","建設業",1886000000,100,"",""
1827,"ナカノフドー建設","","東証STD","○","東証STD","建設業",5061000000,100,"",""
1828,"田辺工業","","東証STD","○","東証STD","建設業",885320000,100,"",""
1829,"大和建設（上場廃止）","","東証2部","○","東証2部","建設業","",1000,"",""
1830,"共栄冷機工業（上場廃止）","","店頭","○","店頭","建設業","",1000,"",""
1832,"北海電気工事（上場廃止）","","札証","○","札証","建設業",1730000000,100,"",""
1833,"奥村組","","東証PRM","○","東証PRM","建設業",19838000000,100,"",""
1834,"小田急建設（上場廃止）","","東証1部","○","東証1部","建設業","",500,"",""
1835,"東鉄工業","","東証PRM","○","東証PRM","建設業",2810000000,100,"",""
1836,"大日本土木（上場廃止）","","東証1部","○","東証1部,大証1部,名証1部","建設業","",1000,"",""
1837,"ハザマ（上場廃止）","","東証1部","○","東証1部,大証1部,名証1部","建設業","",1000,"",""
1838,"古久根建設（上場廃止）","","東証1部","○","東証1部","建設業","",1000,"",""
1839,"真柄建設（上場廃止）","","東証1部","○","東証1部,大証1部,名証1部","建設業","",1000,"",""
1840,"土屋ホールディングス","","東証STD","○","東証STD","建設業",7114815000,100,"",""
1841,"サンユー建設（上場廃止）","","東証STD","○","東証STD","建設業",310000000,100,"",""
1844,"大盛工業","","東証STD","○","東証STD","建設業",3001265000,100,"",""
1845,"森本組（上場廃止）","","大証1部","○","大証1部","建設業","",1000,"",""
1846,"鈴縫工業（上場廃止）","","東証2部","○","東証2部","建設業","",1000,"",""
1847,"イチケン","","東証STD","○","東証STD","建設業",4329000000,100,"",""
1848,"富士ピー・エス","","東証STD","○","東証STD","建設業",2379000000,100,"",""
1850,"南海辰村建設","","東証STD","○","東証STD","建設業",2000000000,100,"",""
1851,"大木建設（上場廃止）","","東証1部","○","東証1部,大証1部","建設業","",1000,"",""
1852,"淺沼組","","東証PRM","○","東証PRM","建設業",9614000000,100,"",""
1853,"森組","","東証STD","○","東証STD","建設業",1640000000,100,"",""
1854,"新井組（上場廃止）","","東証1部","○","東証1部,大証1部","建設業","",100,"",""
1855,"東急建設（上場廃止）","","東証1部","○","東証1部,大証1部","建設業","",1000,"",""
1856,"ジェイオー建設（上場廃止）","","大証2部","○","大証2部","建設業","",1000,"",""
1857,"松村組（上場廃止）","","大証1部","○","大証1部,札幌","建設業","",1000,"",""
1858,"井上工業（上場廃止）","","東証2部","○","東証2部","建設業","",1000,"",""
1860,"戸田建設","","東証PRM","○","東証PRM","建設業",23001000000,100,"",""
1861,"熊谷組","","東証PRM","○","東証PRM","建設業",30108000000,100,"",""
1862,"横河工事（上場廃止）","","東証2部","○","東証2部","建設業","",100,"",""
1863,"テトラ（上場廃止）","","東証1部","○","東証1部","建設業","",1000,"",""
1865,"小松建設工業（上場廃止）","","東証1部","○","東証1部","建設業","",1000,"",""
1866,"北野建設","","東証STD","○","東証STD","建設業",9116000000,100,"",""
1867,"植木組","","東証STD","○","東証STD","建設業",5315671000,100,"",""
1868,"三井ホーム（上場廃止）","","東証1部","○","東証1部","建設業","",1000,"",""
1869,"名工建設（上場廃止）","","名証MN","○","名証MN","建設業",1594000000,100,"",""
1870,"矢作建設工業","","東証PRM","○","東証PRM","建設業",6808000000,100,"",""
1871,"ピーエス・コンストラクション","ピーエス三菱","東証PRM","○","東証PRM","建設業",4218000000,100,"",""
1872,"アゼル（上場廃止）","","東証1部","○","東証1部,大証1部","不動産業","",1000,"",""
1873,"日本ハウスホールディングス","","東証PRM","○","東証PRM","建設業",3873000000,100,"",""
1874,"佐藤秀（上場廃止）","","店頭","○","店頭","建設業","",1000,"",""
1875,"青木マリーン（上場廃止）","","大証2部","○","大証2部","建設業","",1000,"",""
1877,"川田建設（上場廃止）","","東証2部","○","東証2部","建設業","",1000,"",""
1878,"大東建託","","東証PRM","○","東証PRM","不動産業",29060000000,100,"",""
1879,"新日本建設","","東証PRM","○","東証PRM","建設業",3665000000,100,"",""
1880,"スルガコーポレーション（上場廃止）","","東証2部","○","東証2部","建設業","",100,"",""
1881,"日本鋪道（上場廃止）","","東証1部","○","東証1部,札幌","建設業","",1000,"",""
1882,"東亜道路工業","","東証PRM","○","東証PRM","建設業",7584000000,100,"",""
1883,"前田道路（上場廃止）","","東証1部","○","東証1部","建設業","",1000,"",""
1884,"日本道路（上場廃止）","","東証PRM","○","東証PRM","建設業",12290000000,100,"",""
1885,"東亜建設工業","","東証PRM","○","東証PRM","建設業",18976000000,100,"",""
1887,"日本国土開発","","東証PRM","○","東証PRM","建設業",5012000000,100,"",""
1888,"若築建設","","東証PRM","○","東証PRM","建設業",11374000000,100,"",""
1889,"佐伯建設工業（上場廃止）","","東証1部","○","東証1部,大証1部","建設業","",1000,"",""
1890,"東洋建設（上場廃止）","","東証PRM","○","東証PRM","建設業",14049000000,100,"",""
1892,"徳倉建設（上場廃止）","","名証MN","○","名証MN","建設業",2368000000,100,"",""
1893,"五洋建設","","東証PRM","○","東証PRM","建設業",30449000000,100,"",""
1895,"大成ロテック（上場廃止）","","東証1部","○","東証1部","建設業","",1000,"",""
1896,"大林道路（上場廃止）","","東証1部","○","東証1部,大証1部","建設業","",1000,"",""
1897,"金下建設","","東証STD","○","東証STD","建設業",1000000000,100,"",""
1898,"世紀東急工業","","東証PRM","○","東証PRM","建設業",2000000000,100,"",""
1899,"福田組","","東証PRM","○","東証PRM","建設業",5158000000,100,"",""
1900,"白石（上場廃止）","","東証2部","○","東証2部","建設業","",1000,"",""
1902,"山崎建設（上場廃止）","","店頭","○","店頭","建設業","",1000,"",""
1904,"大成温調","","東証STD","○","東証STD","建設業",5195057000,100,"",""
1905,"テノックス","","東証STD","○","東証STD","建設業",1710900000,100,"",""
1906,"細田工務店（上場廃止）","","JASDAQ","○","店頭","建設業","",1000,"",""
1907,"東北ミサワホーム（上場廃止）","","東証1部","○","東証1部","建設業","",500,"",""
1908,"三平建設（上場廃止）","","JASDAQ","○","店頭","建設業","","","",""
1909,"日本ドライケミカル","","東証STD","○","東証STD","機械",700549000,100,"",""
1910,"フドウ建研（上場廃止）","","JASDAQ","○","店頭","建設業","",1000,"",""
1911,"住友林業","","東証PRM","○","東証PRM","建設業",50074000000,100,"",""
1913,"旭ホームズ（上場廃止）","","JASDAQ","○","店頭","建設業","",1000,"",""
1914,"日本基礎技術","","東証STD","○","東証STD","建設業",5907000000,100,"",""
1915,"東京ミサワホーム（上場廃止）","","JASDAQ","○","店頭","建設業","",1000,"",""
1916,"日成ビルド工業（上場廃止）","","東証1部","○","東証1部,大証1部","建設業","",1000,"",""
1917,"ニツセキハウス工業（上場廃止）","","東証1部","○","東証1部,大証1部","建設業","",1000,"",""
1919,"エス・バイ・エル（上場廃止）","","東証1部","○","東証1部,大証1部","建設業","",1000,"",""
1921,"巴コーポレーション","巴Corp.","東証STD","○","東証STD","建設業",3000000000,100,"",""
1922,"大成ユーレック（上場廃止）","","東証1部","○","東証1部","建設業","",1000,"",""
1923,"ミサワホーム（上場廃止）","","東証1部","○","東証1部,大証1部","建設業","",1000,"",""
1924,"ナショナル住宅産業（上場廃止）","","東証1部","○","東証1部,大証1部","建設業","",1000,"",""
1925,"大和ハウス工業","","東証PRM","○","東証PRM","建設業",161845000000,100,"",""
1926,"ライト工業","","東証PRM","○","東証PRM","建設業",6119000000,100,"",""
1928,"積水ハウス","","東証PRM","○","東証PRM","建設業",202591000000,100,"",""
1929,"日特建設","","東証PRM","○","東証PRM","建設業",6052000000,100,"",""
1930,"北陸電気工事","","東証PRM","○","東証PRM","建設業",3328000000,100,"",""
1931,"日本電通（上場廃止）","","大証2部","○","大証2部","建設業","",1000,"",""
1932,"コミューチュア（上場廃止）","","東証1部","○","東証1部,大証1部","建設業","",1000,"",""
1933,"西日本システム建設（上場廃止）","","大証2部","○","大証2部,福岡","建設業","",1000,"",""
1934,"ユアテック","","東証PRM","○","東証PRM","建設業",7803000000,100,"",""
1935,"東北通信建設（上場廃止）","","東証2部","○","東証2部","建設業","",1000,"",""
1936,"シーキューブ（上場廃止）","","名証1部","○","名証1部","建設業","",100,"",""
1937,"西部電気工業（上場廃止）","","東証1部","○","東証1部,大証1部,福岡","建設業","",1000,"",""
1938,"日本リーテック","","東証PRM","○","東証PRM","建設業",1430962000,100,"",""
1939,"四電工","","東証PRM","○","東証PRM","建設業",3451000000,100,"",""
1940,"つうけん（上場廃止）","","東証2部","○","東証2部,札幌","建設業","",1000,"",""
1941,"中電工","","東証PRM","○","東証PRM","建設業",3481000000,100,"",""
