"コード","会社名","旧会社名","市場","選択","取引市場","業種","資本金","単位株数","備考"
6413,"理想科学工業","","東証PRM","○","東証PRM","機械",14114000000,100,"",""
6414,"川重冷熱工業（上場廃止）","","JASDAQ","○","店頭","機械","",1000,"",""
6415,"ニスカ（上場廃止）","","JASDAQ","○","店頭","機械","",1000,"",""
6416,"桂川電機（上場廃止）","","東証STD","○","東証STD","機械",4651750000,100,"",""
6417,"ＳＡＮＫＹＯ","三共","東証PRM","○","東証PRM","機械",14840000000,100,"",""
6418,"日本金銭機械","","東証PRM","○","東証PRM","機械",2220316000,100,"",""
6419,"マースグループホールディングス","","東証PRM","○","東証PRM","機械",7934100000,100,"",""
6420,"ガリレイ","フクシマガリレイ","東証PRM","○","東証PRM","機械",2760000000,100,"",""
6421,"キヤノンアプテックス（上場廃止）","","東証1部","○","東証1部","機械","",1000,"",""
6423,"高砂電器産業（上場廃止）","","東証1部","○","東証1部,大証1部","機械","",100,"",""
6424,"高見沢サイバネティックス","","東証STD","○","東証STD","機械",700700000,100,"",""
6425,"ユニバーサルエンターテインメント","","東証STD","○","東証STD","機械",98000000,100,"",""
6426,"サミー（上場廃止）","","東証1部","○","東証1部","機械","",100,"",""
6427,"東北リコー（上場廃止）","","東証2部","○","東証2部","機械","",1000,"",""
6428,"オーイズミ","","東証STD","○","東証STD","機械",1006900000,100,"",""
6429,"タイヨーエレック（上場廃止）","","JASDAQ","○","店頭","機械","",1000,"",""
6430,"ダイコク電機","","東証PRM","○","東証PRM","機械",674000000,100,"",""
6431,"キヤノン・エヌ・ティー・シー（上場廃止）","","東証2部","○","東証2部","機械","",1000,"",""
6432,"竹内製作所","","東証PRM","○","東証PRM","機械",3632000000,100,"",""
6433,"ヒーハイスト","","東証STD","○","東証STD","機械",732552000,100,"",""
6436,"アマノ","","東証PRM","○","東証PRM","機械",18239000000,100,"",""
6437,"三條機械製作所（上場廃止）","","東証2部","○","東証2部","機械","",1000,"",""
6439,"中日本鋳工（上場廃止）","","名証MN","○","名証MN","機械",30000000,100,"",""
6440,"ＪＵＫＩ","","東証PRM","○","東証PRM","機械",18044000000,100,"",""
6442,"コピア（上場廃止）","","東証2部","○","東証2部","機械","",1000,"",""
6443,"東洋製作所（上場廃止）","","東証2部","○","東証2部","機械","",1000,"",""
6444,"サンデン","","東証STD","○","東証STD","機械",21741000000,100,"",""
6445,"ジャノメ","","東証PRM","○","東証PRM","機械",11372000000,100,"",""
6448,"ブラザー工業","","東証PRM","○","東証PRM","電気機器",19209000000,100,"",""
6453,"シルバー精工（上場廃止）","","東証1部","○","東証1部","機械","",1000,"",""
6454,"マックス","","東証PRM","○","東証PRM","機械",12367000000,100,"",""
6455,"モリタホールディングス","","東証PRM","○","東証PRM","輸送用機器",4746000000,100,"",""
6457,"グローリー","","東証PRM","○","東証PRM","機械",12892000000,100,"",""
6458,"新晃工業","","東証PRM","○","東証PRM","機械",5822000000,100,"",""
6459,"大和冷機工業","","東証PRM","○","東証PRM","機械",9907039000,100,"",""
6460,"セガサミーホールディングス","","東証PRM","○","東証PRM","機械",29953000000,100,"",""
6461,"日本ピストンリング（上場廃止）","","東証1部","○","東証1部,大証1部,名証1部,札幌","機械","",1000,"",""
6462,"リケン（上場廃止）","","東証1部","○","東証1部,大証1部,名証1部","機械","",1000,"",""
6463,"ＴＰＲ","","東証PRM","○","東証PRM","機械",4758000000,100,"",""
6464,"ツバキ・ナカシマ","","東証PRM","○","東証PRM","機械",17116000000,100,"",""
6465,"ホシザキ","","東証PRM","○","東証PRM","機械",8070000000,100,"",""
6466,"ＴＶＥ","","東証STD","○","東証STD","機械",1739559000,100,"",""
6467,"ニチダイ","","東証STD","○","東証STD","機械",1429921000,100,"",""
6468,"駿河精機（上場廃止）","","JASDAQ","○","店頭","機械","",100,"",""
6469,"放電精密加工研究所","","東証STD","○","東証STD","機械",889190000,100,"",""
6470,"大豊工業","","東証STD","○","東証STD","機械",6712000000,100,"",""
6471,"日本精工","","東証PRM","○","東証PRM","機械",67176000000,100,"",""
6472,"ＮＴＮ","","東証PRM","○","東証PRM","機械",54346000000,100,"",""
6473,"ジェイテクト","","東証PRM","○","東証PRM","機械",45591000000,100,"",""
6474,"不二越","","東証PRM","○","東証PRM","機械",16074000000,100,"",""
6475,"天辻鋼球製作所（上場廃止）","","東証2部","○","東証2部,大証2部","機械","",1000,"",""
6476,"富士テクニカ（上場廃止）","","JASDAQ","○","店頭","機械","",1000,"",""
6477,"ツバキ・ナカシマ（上場廃止）","","東証1部","○","東証1部,大証1部","機械","",500,"",""
6478,"ダイベア（上場廃止）","","大証2部","○","大証2部","機械","",1000,"",""
6479,"ミネベアミツミ","","東証PRM","○","東証PRM","電気機器",68258000000,100,"",""
6480,"日本トムソン","","東証PRM","○","東証PRM","機械",9533000000,100,"",""
6481,"ＴＨＫ","","東証PRM","○","東証PRM","機械",34606000000,100,"",""
6482,"ＹＵＳＨＩＮ","ユーシン精機","東証STD","○","東証STD","機械",1985666000,100,"",""
6483,"川重防災工業（上場廃止）","","大証2部","○","大証2部","機械","",1000,"",""
6484,"ＫＶＫ","","東証STD","○","東証STD","機械",2854934000,100,"",""
6485,"前澤給装工業","","東証STD","○","東証STD","機械",3358000000,100,"",""
6486,"イーグル工業","","東証PRM","○","東証PRM","機械",10490000000,100,"",""
6487,"積水工機製作所（上場廃止）","","大証2部","○","大証2部","機械","",1000,"",""
6488,"ヨシタケ","","東証STD","○","東証STD","機械",1908674000,100,"",""
6489,"前澤工業","","東証STD","○","東証STD","機械",5233000000,100,"",""
6490,"ＰＩＬＬＡＲ","日本ピラー工業","東証PRM","○","東証PRM","機械",4966000000,100,"",""
6492,"岡野バルブ製造","","東証STD","○","東証STD","機械",1286000000,100,"",""
6493,"ＮＩＴＴＡＮ","","東証STD","○","東証STD","輸送用機器",4530543000,100,"",""
6494,"ＮＦＫホールディングス","","東証STD","○","東証STD","機械",100000000,100,"",""
6495,"宮入バルブ製作所","","東証STD","○","東証STD","機械",1993096000,100,"",""
6496,"中北製作所","","東証STD","○","東証STD","機械",1150000000,100,"",""
6497,"ハマイ","","東証STD","○","東証STD","機械",395307000,100,"",""
6498,"キッツ","","東証PRM","○","東証PRM","機械",21207000000,100,"",""
6499,"大隈エンジニアリング（上場廃止）","","名証2部","○","名証2部","機械","",1000,"",""
6501,"日立製作所","","東証PRM","○","東証PRM","電気機器",462817000000,100,"",""
6502,"東芝（上場廃止）","","東証1部","○","東証1部,大証1部,名証1部,札幌,福岡","電気機器","",1000,"",""
6503,"三菱電機","","東証PRM","○","東証PRM","電気機器",175820000000,100,"",""
6504,"富士電機","","東証PRM","○","東証PRM","電気機器",47586000000,100,"",""
6505,"東洋電機製造","","東証STD","○","東証STD","電気機器",4998000000,100,"",""
6506,"安川電機","","東証PRM","○","東証PRM","電気機器",30562000000,100,"",""
6507,"シンフォニアテクノロジー","","東証PRM","○","東証PRM","電気機器",10156000000,100,"",""
6508,"明電舎","","東証PRM","○","東証PRM","電気機器",17070000000,100,"",""
6513,"オリジン","","東証STD","○","東証STD","電気機器",6103252000,100,"",""
6516,"山洋電気","","東証PRM","○","東証PRM","電気機器",9926000000,100,"",""
6517,"デンヨー","","東証PRM","○","東証PRM","電気機器",1954000000,100,"",""
6518,"三相電機","","東証STD","○","東証STD","電気機器",901663000,100,"",""
6519,"エネサーブ（上場廃止）","","東証1部","○","東証1部,NasdaqJ","電気機器","",100,"",""
6521,"オキサイド","","東証GRT","○","東証GRT","電気機器",1737696000,100,"",""
6522,"アスタリスク","","東証GRT","○","東証GRT","電気機器",804937000,100,"",""
6523,"ＰＨＣホールディングス","","東証PRM","○","東証PRM","電気機器",47946000000,100,"",""
6524,"湖北工業","","東証STD","○","東証STD","電気機器",350000000,100,"",""
6525,"ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ","","東証PRM","○","東証PRM","電気機器","",100,"",""
6526,"ソシオネクスト","","東証PRM","○","東証PRM","電気機器",30200000000,100,"",""
6532,"ベイカレント","ベイカレントコンサルティング","東証PRM","○","東証PRM","サービス業",282000000,100,"",""
6533,"Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ","ＯｒｃｈｅｓｔｒａHD","東証PRM","○","東証PRM","サービス業",202843000,100,"",""
6535,"アイモバイル","","東証PRM","○","東証PRM","サービス業",152000000,100,"",""
6537,"ＷＡＳＨハウス","","東証GRT","○","東証GRT","サービス業",996000000,100,"",""
6538,"ディスラプターズ","キャリアインデックス","東証STD","○","東証STD","サービス業",395000000,100,"",""
6539,"ＭＳ－Ｊａｐａｎ","ＭＳＪａｐａｎ","東証PRM","○","東証PRM","サービス業",587203000,100,"",""
6540,"船場","","東証STD","○","東証STD","サービス業",327041000,100,"",""
6542,"ＦＣHD（上場廃止）","","東証STD","○","東証STD","サービス業",400000000,100,"",""
6543,"日宣","","東証STD","○","東証STD","サービス業",347103000,100,"",""
6544,"ジャパンエレベーターサービスホールディングス","","東証PRM","○","東証PRM","サービス業",2493058000,100,"",""
6545,"インターネットインフィニティー","","東証GRT","○","東証GRT","サービス業",252302000,100,"",""
6546,"フルテック","","東証STD","○","東証STD","サービス業",329304000,100,"",""
6547,"グリーンズ","","東証STD","○","東証STD","サービス業",100000000,100,"",""
6548,"旅工房","","東証GRT","○","東証GRT","サービス業",1545330000,100,"",""
6549,"ディーエムソリューションズ","","東証STD","○","東証STD","サービス業",342591000,100,"",""
6550,"Ｕｎｉｐｏｓ（上場廃止）","","東証GRT","○","東証GRT","サービス業",50730000,100,"",""
6551,"ツナググループ・ホールディングス","","東証STD","○","東証STD","サービス業",700576000,100,"",""
6552,"ＧａｍｅＷｉｔｈ","","東証STD","○","東証STD","サービス業",553000000,100,"",""
6554,"エスユーエス","","東証GRT","○","東証GRT","サービス業",435000000,100,"",""
6555,"ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ","","東証STD","○","東証STD","サービス業",57290000,100,"",""
6556,"ウェルビー（上場廃止）","","東証PRM","○","東証PRM","サービス業",337138000,100,"",""
6557,"ＡＩＡＩグループ","","東証GRT","○","東証GRT","サービス業",176064000,100,"",""
6558,"クックビズ","","東証GRT","○","東証GRT","サービス業",760463000,100,"",""
6560,"エル・ティー・エス","","東証PRM","○","東証PRM","サービス業",728090000,100,"",""
6561,"ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ","","東証GRT","○","東証GRT","サービス業",1771947000,100,"",""
6562,"ジーニー","","東証GRT","○","東証GRT","サービス業",1549591000,100,"",""
6563,"みらいワークス","","東証GRT","○","東証GRT","サービス業",77315000,100,"",""
6564,"ミダックホールディングス","","東証PRM","○","東証PRM","サービス業",90000000,100,"",""
6565,"ＡＢホテル","","東証STD","○","東証STD","サービス業",953920000,100,"",""
6566,"要興業","","東証STD","○","東証STD","サービス業",827736000,100,"",""
6567,"ＳＥＲＩＯHD（上場廃止）","","東証GRT","○","東証GRT","サービス業",693263000,100,"",""
6568,"神戸天然物化学","","東証GRT","○","東証GRT","サービス業",1995106000,100,"",""
6570,"共和コーポレーション","共和Corp.","東証STD","○","東証STD","サービス業",709709000,100,"",""
6571,"キュービーネットホールディングス","","東証PRM","○","東証PRM","サービス業",1326000000,100,"",""
6572,"オープングループ","ＲＰＡHD","東証PRM","○","東証PRM","サービス業",5902391000,100,"",""
6573,"ＣＲＡＶＩＡ","アジャイルメディアネットワーク","東証GRT","○","東証GRT","サービス業",375521000,100,"",""
6574,"コンヴァノ","","東証GRT","○","東証GRT","サービス業",51844000,100,"",""
6577,"ベストワンドットコム","","東証GRT","○","東証GRT","サービス業",474953000,100,"",""
6578,"コレックホールディングス","コレック","東証STD","○","東証STD","サービス業",326090000,100,"",""
6579,"ログリー","","東証GRT","○","東証GRT","サービス業",407687000,100,"",""
6580,"ライトアップ","","東証GRT","○","東証GRT","サービス業",386381000,100,"",""
6581,"日立工機（上場廃止）","","東証1部","○","東証1部,大証1部","電気機器","",1000,"",""
6584,"三櫻工業","","東証PRM","○","東証PRM","輸送用機器",3481000000,100,"",""
6585,"日本サーボ（上場廃止）","","東証2部","○","東証2部","電気機器","",1000,"",""
6586,"マキタ","","東証PRM","○","東証PRM","機械",24206000000,100,"",""
6587,"松下精工（上場廃止）","","東証1部","○","東証1部,大証1部,名証1部","電気機器","",1000,"",""
6588,"東芝テック","","東証PRM","○","東証PRM","電気機器",39970000000,100,"",""
6590,"芝浦メカトロニクス","","東証PRM","○","東証PRM","電気機器",6761000000,100,"",""
6591,"西芝電機（上場廃止）","","東証2部","○","東証2部,大証2部","電気機器","",1000,"",""
6592,"マブチモーター","","東証PRM","○","東証PRM","電気機器",20704000000,100,"",""
6593,"ローヤル電機（上場廃止）","","JASDAQ","○","店頭","電気機器","",1000,"",""
6594,"ニデック","","東証PRM","○","東証PRM","電気機器",87784000000,100,"",""
6597,"ＨＰＣシステムズ","","東証GRT","○","東証GRT","電気機器",229917000,100,"",""
6599,"エブレン","","東証STD","○","東証STD","電気機器",143010000,100,"",""
6612,"バルミューダ","","東証GRT","○","東証GRT","電気機器",1414000000,100,"",""
6613,"ＱＤレーザ","","東証GRT","○","東証GRT","電気機器",3270235000,100,"",""
6614,"シキノハイテック","","東証STD","○","東証STD","電気機器",421469000,100,"",""
6615,"ユー・エム・シー・エレクトロニクス","","東証PRM","○","東証PRM","電気機器",4729000000,100,"",""
6616,"トレックス・セミコンダクター","","東証PRM","○","東証PRM","電気機器",2967934000,100,"",""
6617,"東光高岳","","東証PRM","○","東証PRM","電気機器",8000000000,100,"",""
6619,"ダブル・スコープ","","東証PRM","○","東証PRM","電気機器",15353000000,100,"",""
6620,"宮越ホールディングス","","東証PRM","○","東証PRM","不動産業",9217000000,100,"",""
6621,"高岳製作所（上場廃止）","","東証1部","○","東証1部,大証1部,名証1部","電気機器","",1000,"",""
6622,"ダイヘン","","東証PRM","○","東証PRM","電気機器",10596000000,100,"",""
6623,"愛知電機（上場廃止）","","名証PRM","○","名証PRM","電気機器",4053000000,100,"",""
6624,"田淵電機（上場廃止）","","大証2部","○","大証2部","電気機器","",1000,"",""
6625,"ＪＡＬＣＯホールディングス","","東証STD","○","東証STD","不動産業",6449681000,100,"",""
6626,"ＳＥＭＩＴＥＣ","","東証STD","○","東証STD","電気機器",773027000,100,"",""
6627,"テラプローブ","","東証STD","○","東証STD","電気機器",11823312000,100,"",""
6629,"テクノホライゾン","","東証STD","○","東証STD","電気機器",2500000000,100,"",""
6630,"ヤーマン","","東証PRM","○","東証PRM","電気機器",1813796000,100,"",""
6632,"ＪＶＣケンウッド","","東証PRM","○","東証PRM","電気機器",13645000000,100,"",""
6633,"ＣＧＳホールディングス","Ｃ＆Ｇシステムズ","東証STD","○","東証STD","電気機器",500000000,100,"",""
6634,"ＪＮグループ","ネクスグループ","東証STD","○","東証STD","電気機器",10000000,100,"",""
6635,"大日光・エンジニアリング","","東証STD","○","東証STD","電気機器",1167359000,100,"",""
6637,"寺崎電気産業","","東証STD","○","東証STD","電気機器",1236640000,100,"",""
6638,"ミマキエンジニアリング","","東証PRM","○","東証PRM","電気機器",4357456000,100,"",""
6640,"ＩＰＥＸ（上場廃止）","","東証PRM","○","東証PRM","電気機器",10968000000,100,"",""
6641,"日新電機（上場廃止）","","東証1部","○","東証1部,大証1部","電気機器","",1000,"",""
6643,"戸上電機製作所","","東証STD","○","東証STD","電気機器",2899597000,100,"",""
6644,"大崎電気工業","","東証PRM","○","東証PRM","電気機器",7965000000,100,"",""
6645,"オムロン","","東証PRM","○","東証PRM","電気機器",64100000000,100,"",""
6646,"エナジーサポート（上場廃止）","","大証2部","○","大証2部,名証2部","電気機器","",1000,"",""
6647,"森尾電機","","東証STD","○","東証STD","電気機器",1048500000,100,"",""
6648,"かわでん","","東証STD","○","東証STD","電気機器",2124000000,100,"",""
6650,"春日電機（上場廃止）","","東証2部","○","東証2部","電気機器","",1000,"",""
6651,"日東工業","","東証PRM","○","東証PRM","電気機器",6578000000,100,"",""
6652,"ＩＤＥＣ","","東証PRM","○","東証PRM","電気機器",10056000000,100,"",""
6653,"正興電機製作所","","東証PRM","○","東証PRM","電気機器",2607000000,100,"",""
6654,"不二電機工業","","東証STD","○","東証STD","電気機器",1087250000,100,"",""
6655,"東洋電機（上場廃止）","","名証MN","○","名証MN","電気機器",1037085000,100,"",""
6656,"インスペック","","東証STD","○","東証STD","電気機器",802566000,100,"",""
6658,"シライ電子工業","","東証STD","○","東証STD","電気機器",90000000,100,"",""
6659,"メディアリンクス","","東証STD","○","東証STD","電気機器",2258888000,100,"",""
6662,"ユビテック","","東証STD","○","東証STD","電気機器",941473000,100,"",""
6663,"太洋テクノレックス","","東証STD","○","東証STD","電気機器",815198000,100,"",""
6664,"オプトエレクトロニクス","","東証STD","○","東証STD","電気機器",942415000,100,"",""
6666,"リバーエレテック","","東証STD","○","東証STD","電気機器",1681829000,100,"",""
6668,"アドテック　プラズマ　テクノロジー","","東証STD","○","東証STD","電気機器",835000000,100,"",""
6670,"ＭＣＪ","","東証STD","○","東証STD","電気機器",3868000000,100,"",""
6674,"ジーエス・ユアサ　コーポレーション","ジーエスユアサCorp.","東証PRM","○","東証PRM","電気機器",33021000000,100,"",""
6675,"サクサ","サクサHD","東証STD","○","東証STD","電気機器",10836000000,100,"",""
6676,"ＢＵＦＦＡＬＯ","メルコHD","東証STD","○","東証STD","電気機器",1000000000,100,"",""
6677,"エスケーエレクトロニクス","","東証STD","○","東証STD","電気機器",4109722000,100,"",""
6678,"テクノメディカ","","東証STD","○","東証STD","電気機器",1069800000,100,"",""
6680,"ＩＢＭ（上場廃止）","","東証外国","○","東証外国部","電気機器","",10,"",""
6686,"モトローラ（上場廃止）","","東証外国","○","東証外国部","電気機器","",50,"",""
6687,"アルカテル（上場廃止）","","東証外国","○","東証外国部","電気機器","",10,"",""
6689,"アップル・コンピュータ（上場廃止）","","東証外国","○","東証外国部","電気機器","",50,"",""
6694,"ズーム","","東証STD","○","東証STD","電気機器",212276000,100,"",""
6696,"トラース・オン・プロダクト","","東証GRT","○","東証GRT","電気機器",510493000,100,"",""
6697,"テックポイントインク（上場廃止）","","東証GRT","○","東証GRT","電気機器","",100,"",""
6698,"ヴィスコテクノロジーズ（上場廃止）","","東証STD","○","東証STD","電気機器",493338000,100,"",""
6699,"ダイヤモンドエレクトリックホールディングス","","東証PRM","○","東証PRM","電気機器",1236000000,100,"",""
6701,"日本電気","","東証PRM","○","東証PRM","電気機器",427831000000,100,"",""
6702,"富士通","","東証PRM","○","東証PRM","電気機器",324625000000,100,"",""
6703,"沖電気工業","","東証PRM","○","東証PRM","電気機器",44000000000,100,"",""
6704,"岩崎通信機（上場廃止）","","東証STD","○","東証STD","電気機器",6025000000,100,"",""
6705,"ＮＥＣインフロンティア（上場廃止）","","東証1部","○","東証1部","電気機器","",1000,"",""
6706,"電気興業","","東証PRM","○","東証PRM","電気機器",8774000000,100,"",""
6707,"サンケン電気","","東証PRM","○","東証PRM","電気機器",20896000000,100,"",""
6708,"東洋通信機（上場廃止）","","東証1部","○","東証1部","電気機器","",1000,"",""
6709,"明星電気（上場廃止）","","東証2部","○","東証2部","電気機器","",1000,"",""
6710,"大興電機製作所（上場廃止）","","東証2部","○","東証2部","電気機器","",1000,"",""
6712,"田村電機製作所（上場廃止）","","東証1部","○","東証1部","電気機器","",1000,"",""
6714,"神田通信工業（上場廃止）","","東証2部","○","東証2部","電気機器","",1000,"",""
6715,"ナカヨ（上場廃止）","","東証STD","○","東証STD","電気機器",4909000000,100,"",""
6716,"中央無線（上場廃止）","","JASDAQ","○","店頭","電気機器","",1000,"",""
6717,"富士通電装（上場廃止）","","東証1部","○","東証1部","電気機器","",100,"",""
6718,"アイホン","","東証PRM","○","東証PRM","電気機器",5388000000,100,"",""
6719,"富士通コンポーネント（上場廃止）","","東証2部","○","東証2部","電気機器","","","",""
6721,"ウインテスト","","東証STD","○","東証STD","電気機器",1210563000,100,"",""
6723,"ルネサスエレクトロニクス","","東証PRM","○","東証PRM","電気機器",153209000000,100,"",""
6724,"セイコーエプソン","","東証PRM","○","東証PRM","電気機器",53204000000,100,"",""
6727,"ワコム","","東証PRM","○","東証PRM","電気機器",4203469000,100,"",""
6728,"アルバック","","東証PRM","○","東証PRM","電気機器",20873000000,100,"",""
6730,"アクセル","","東証STD","○","東証STD","電気機器",1028000000,100,"",""
6731,"ピクセラ","","東証STD","○","東証STD","電気機器",5743072000,100,"",""
6734,"ニューテック（上場廃止）","","東証STD","○","東証STD","電気機器",496310000,100,"",""
6735,"ディーアンドエムホールディングス（上場廃止）","","東証2部","○","","","","","",""
6736,"サン電子","","東証STD","○","東証STD","電気機器",2089685000,100,"",""
6737,"ＥＩＺＯ","","東証PRM","○","東証PRM","電気機器",4425000000,100,"",""
6738,"東研（上場廃止）","","JASDAQ","○","店頭","電気機器","",1000,"",""
6739,"アドテックス（上場廃止）","","NasdaqJ","○","NasdaqJ","電気機器","","","",""
6740,"ジャパンディスプレイ","","東証PRM","○","東証PRM","電気機器",100000000,100,"",""
6741,"日本信号","","東証PRM","○","東証PRM","電気機器",10000000000,100,"",""
6742,"京三製作所","","東証PRM","○","東証PRM","電気機器",6270000000,100,"",""
6743,"大同信号","","東証STD","○","東証STD","電気機器",1500039000,100,"",""
6744,"能美防災","","東証PRM","○","東証PRM","電気機器",13302000000,100,"",""
6745,"ホーチキ","","東証PRM","○","東証PRM","電気機器",3798000000,100,"",""
6747,"小糸工業（上場廃止）","","東証2部","○","東証2部","電気機器","",1000,"",""
6748,"星和電機","","東証STD","○","東証STD","電気機器",3648406000,100,"",""
6749,"マスプロ電工（上場廃止）","","東証1部","○","東証1部,名証1部","電気機器","",100,"",""
6750,"エレコム","","東証PRM","○","東証PRM","電気機器",12577000000,100,"",""
6751,"日本無線（上場廃止）","","東証1部","○","東証1部","電気機器","",1000,"",""
6752,"パナソニック　ホールディングス","","東証PRM","○","東証PRM","電気機器",259274000000,100,"",""
6753,"シャープ","","東証PRM","○","東証PRM","電気機器",5000000000,100,"",""
6754,"アンリツ","","東証PRM","○","東証PRM","電気機器",19218000000,100,"",""
6755,"富士通ゼネラル（上場廃止）","","東証PRM","○","東証PRM","電気機器",18172000000,100,"",""
6756,"日立国際電気（上場廃止）","","東証1部","○","東証1部,大証1部","電気機器","",1000,"",""
6757,"ＯＳＧコーポレーション","ＯＳＧCorp.","東証STD","○","東証STD","電気機器",601000000,100,"",""
6758,"ソニーグループ","","東証PRM","○","東証PRM","電気機器",880365000000,100,"",""
6759,"ＮＥＣ　トーキン（上場廃止）","","東証1部","○","東証1部","電気機器","",1000,"",""
6760,"カシオマイクロニクス（上場廃止）","","JASDAQ","○","店頭","電気機器","",500,"",""
6761,"アイワ（上場廃止）","","東証1部","○","東証1部","電気機器","",100,"",""
6762,"ＴＤＫ","","東証PRM","○","東証PRM","電気機器",32641000000,100,"",""
6763,"帝国通信工業","","東証PRM","○","東証PRM","電気機器",3453078000,100,"",""
6764,"三洋電機（上場廃止）","","東証1部","○","東証1部,大証1部,名証1部,札幌,福岡","電気機器","",1000,"",""
6765,"ケンウッド（上場廃止）","","東証1部","○","東証1部,大証1部","電気機器","",1000,"",""
6766,"宮越商事（上場廃止）","","東証1部","○","東証1部,大証1部","電気機器","",1000,"",""
6767,"ミツミ電機（上場廃止）","","東証1部","○","東証1部,大証1部","電気機器","",100,"",""
6768,"タムラ製作所","","東証PRM","○","東証PRM","電気機器",11829000000,100,"",""
6769,"ザインエレクトロニクス","","東証STD","○","東証STD","電気機器",1175267000,100,"",""
6770,"アルプスアルパイン","","東証PRM","○","東証PRM","電気機器",38730000000,100,"",""
6771,"池上通信機","","東証STD","○","東証STD","電気機器",7000000000,100,"",""
6772,"東京コスモス電機","","東証STD","○","東証STD","電気機器",1277000000,100,"",""
6773,"パイオニア（上場廃止）","","東証1部","○","東証1部,大証1部","電気機器","",100,"",""
6774,"カノープス（上場廃止）","","JASDAQ","○","店頭","電気機器","","","",""
6775,"ＴＢグループ","","東証STD","○","東証STD","電気機器",988093000,100,"",""
6776,"天昇電気工業","","東証STD","○","東証STD","化学",1208000000,100,"",""
6777,"ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ","ｓａｎｔｅｃHD","東証STD","○","東証STD","電気機器",4978566000,100,"",""
6778,"アルチザネットワークス","","東証STD","○","東証STD","電気機器",1359350000,100,"",""
6779,"日本電波工業","","東証PRM","○","東証PRM","電気機器",5596000000,100,"",""
6781,"松下通信工業（上場廃止）","","東証1部","○","東証1部,大証1部","電気機器","",100,"",""
6782,"九州松下電器（上場廃止）","","東証1部","○","東証1部,大証1部,福岡","電気機器","",1000,"",""
6783,"松下寿電子工業（上場廃止）","","東証1部","○","東証1部,大証1部","電気機器","",1000,"",""
6784,"プラネックスコミュニケーションズ（上場廃止）","","JASDAQ","○","店頭","電気機器","","","",""
6785,"鈴木","","東証PRM","○","東証PRM","電気機器",2442450000,100,"",""
6786,"ＲＶＨ","","東証STD","○","東証STD","サービス業",100000000,100,"",""
6787,"メイコー","","東証PRM","○","東証PRM","電気機器",12888000000,100,"",""
6788,"日本トリム","","東証PRM","○","東証PRM","電気機器",992597000,100,"",""
6789,"ローランドディー．ジー．（上場廃止）","","東証PRM","○","東証PRM","電気機器",3668700000,100,"",""
6790,"野田スクリーン（上場廃止）","","NasdaqJ","○","NasdaqJ","電気機器","","","",""
6791,"日本コロムビア（上場廃止）","","東証1部","○","東証1部,大証1部,名証1部,札幌","電気機器","",1000,"",""
6792,"日本ビクター（上場廃止）","","東証1部","○","東証1部,大証1部","電気機器","",1000,"",""
6793,"山水電気（上場廃止）","","東証1部","○","東証1部,大証1部","電気機器","",1000,"",""
6794,"フォスター電機","","東証PRM","○","東証PRM","電気機器",6770000000,100,"",""
6796,"クラリオン（上場廃止）","","東証1部","○","東証1部,大証1部","電気機器","",1000,"",""
6797,"名古屋電機工業","","名証MN","○","名証MN","電気機器",1184975000,100,"",""
6798,"ＳＭＫ","","東証PRM","○","東証PRM","電気機器",7996000000,100,"",""
6799,"日本マランツ（上場廃止）","","東証2部","○","東証2部","電気機器","",1000,"",""
6800,"ヨコオ","","東証PRM","○","東証PRM","電気機器",7819000000,100,"",""
6801,"東光（上場廃止）","","東証1部","○","東証1部","電気機器","",1000,"",""
6803,"ティアック","","東証STD","○","東証STD","電気機器",3500000000,100,"",""
6804,"ホシデン","","東証PRM","○","東証PRM","電気機器",13660000000,100,"",""
6806,"ヒロセ電機","","東証PRM","○","東証PRM","電気機器",9404000000,100,"",""
6807,"日本航空電子工業","","東証PRM","○","東証PRM","電気機器",10690000000,100,"",""
6808,"シントム（上場廃止）","","東証1部","○","東証1部","電気機器","",1000,"",""
6809,"ＴＯＡ","","東証PRM","○","東証PRM","電気機器",5279000000,100,"",""
6810,"マクセル","","東証PRM","○","東証PRM","電気機器",12203000000,100,"",""
6811,"イーラックス（上場廃止）","","JASDAQ","○","店頭","電気機器","",1000,"",""
6812,"ジャルコ（上場廃止）","","JASDAQ","○","店頭","電気機器","",1000,"",""
6813,"ナカミチ（上場廃止）","","東証2部","○","東証2部","電気機器","",1000,"",""
6814,"古野電気","","東証PRM","○","東証PRM","電気機器",7534000000,100,"",""
6815,"ユニデン（上場廃止）","","東証1部","○","東証1部","電気機器","",1000,"",""
6816,"アルパイン（上場廃止）","","東証1部","○","東証1部","電気機器","",1000,"",""
6817,"スミダコーポレーション","スミダCorp.","東証PRM","○","東証PRM","電気機器",10150000000,100,"",""
6818,"島田理化工業（上場廃止）","","東証1部","○","東証1部","電気機器","",100,"",""
6819,"伊豆シャボテンリゾート","","東証STD","○","東証STD","サービス業",100000000,100,"",""
6820,"アイコム","","東証PRM","○","東証PRM","電気機器",7081000000,100,"",""
